,comune,anno,valore,lat,lon
90,CAVEDINE,2022,0.060826446280991736,NaN,NaN
91,CAVEDINE,2023,0.08430609597924774,NaN,NaN
92,CAVIZZANA,2022,0.08097165991902834,NaN,NaN
93,CAVIZZANA,2023,0.0847457627118644,NaN,NaN
94,CEMBRA LISIGNAGO,2022,0.08013937282229965,NaN,NaN
95,CEMBRA LISIGNAGO,2023,0.08044982698961937,NaN,NaN
96,CIMONE,2022,0.00554016620498615,NaN,NaN
97,CIMONE,2023,0.005532503457814661,NaN,NaN
98,CINTE TESINO,2022,0.28994082840236685,NaN,NaN
99,CINTE TESINO,2023,0.28337874659400547,NaN,NaN
100,CIS,2022,0.1611842105263158,NaN,NaN
101,CIS,2023,0.16333333333333333,NaN,NaN
102,CIVEZZANO,2022,0.007331378299120235,NaN,NaN
103,CIVEZZANO,2023,0.011148812409112942,NaN,NaN
104,CLES,2022,0.05200615126520341,NaN,NaN
105,CLES,2023,0.05209921019814327,NaN,NaN
106,CLOZ,2022,0.0,NaN,NaN
107,CLOZ,2023,0.0,NaN,NaN
108,COMANO TERME,2022,0.6460693443185719,NaN,NaN
109,COMANO TERME,2023,0.6183180115764385,NaN,NaN
110,COMMEZZADURA,2022,1.1259920634920635,NaN,NaN
111,COMMEZZADURA,2023,1.1504950495049504,NaN,NaN
112,CONTÀ,2022,0.08279800142755175,NaN,NaN
113,CONTÀ,2023,0.09466192170818505,NaN,NaN
114,CROVIANA,2022,0.4240231548480463,NaN,NaN
115,CROVIANA,2023,0.4347202295552367,NaN,NaN
116,DAIANO,2022,0.0,NaN,NaN
117,DAIANO,2023,0.0,NaN,NaN
118,DAMBEL,2022,0.007211538461538462,NaN,NaN
119,DAMBEL,2023,0.007263922518159807,NaN,NaN
120,DENNO,2022,0.06435643564356436,NaN,NaN
121,DENNO,2023,0.06280193236714976,NaN,NaN
122,DIMARO FOLGARIDA,2022,0.5872176838058626,NaN,NaN
123,DIMARO FOLGARIDA,2023,2.2714217328865485,NaN,NaN
124,DRENA,2022,0.4463373083475298,NaN,NaN
125,DRENA,2023,0.45791245791245794,NaN,NaN
126,DRO,2022,0.23339960238568588,NaN,NaN
127,DRO,2023,0.27241996420759595,NaN,NaN
128,FAEDO,2022,0.0,NaN,NaN
129,FAEDO,2023,0.0,NaN,NaN
130,FAI DELLA PAGANELLA,2022,1.5403314917127071,46.1793313,11.0689304
131,FAI DELLA PAGANELLA,2023,1.5053418803418803,46.1793313,11.0689304
132,FIAVÈ,2022,0.29119850187265917,NaN,NaN
133,FIAVÈ,2023,0.4185149469623915,NaN,NaN
134,FIEROZZO-VLARÖTZ,2022,0.0,NaN,NaN
135,FIEROZZO-VLARÖTZ,2023,0.0,NaN,NaN
136,FOLGARIA,2022,2.1890689545598985,NaN,NaN
137,FOLGARIA,2023,2.364642631246047,NaN,NaN
138,FONDO,2022,0.0,NaN,NaN
139,FONDO,2023,0.0,NaN,NaN
140,FORNACE,2022,0.0030464584920030465,NaN,NaN
141,FORNACE,2023,0.01126126126126126,NaN,NaN
142,FRASSILONGO-GARAIT,2022,0.0,NaN,NaN
143,FRASSILONGO-GARAIT,2023,0.0,NaN,NaN
144,GARNIGA TERME,2022,0.26854219948849106,NaN,NaN
145,GARNIGA TERME,2023,0.2519480519480519,NaN,NaN
146,GIOVO,2022,0.05793650793650794,NaN,NaN
147,GIOVO,2023,0.04846335697399527,NaN,NaN
148,GIUSTINO,2022,1.2564102564102564,NaN,NaN
149,GIUSTINO,2023,1.257104194857916,NaN,NaN
150,GRIGNO,2022,0.05172413793103448,NaN,NaN
151,GRIGNO,2023,0.06237721021611002,NaN,NaN
152,IMER,2022,0.6165670367207515,NaN,NaN
153,IMER,2023,0.5940928270042194,NaN,NaN
154,ISERA,2022,0.03025936599423631,NaN,NaN
155,ISERA,2023,0.03015075376884422,NaN,NaN
156,LAVARONE,2022,2.1162594776748103,NaN,NaN
157,LAVARONE,2023,2.1991596638655464,NaN,NaN
158,LAVIS,2022,0.05292570677186062,NaN,NaN
159,LAVIS,2023,0.05438692098092643,NaN,NaN
160,LEDRO,2022,1.2535558505594537,NaN,NaN
161,LEDRO,2023,1.2530980097634248,NaN,NaN
162,LEVICO TERME,2022,1.0296287189574624,NaN,NaN
163,LEVICO TERME,2023,1.0203857421875,NaN,NaN
164,LIVO,2022,0.05121638924455826,NaN,NaN
165,LIVO,2023,0.0649867374005305,NaN,NaN
166,LONA-LASES,2022,0.011454753722794959,NaN,NaN
167,LONA-LASES,2023,0.04277456647398844,NaN,NaN
168,LUSERNA-LUSÉRN,2022,0.0,NaN,NaN
169,LUSERNA-LUSÉRN,2023,0.0,NaN,NaN
170,MADRUZZO,2022,0.08842389470131623,NaN,NaN
171,MADRUZZO,2023,0.08796764408493428,NaN,NaN
172,MALÉ,2022,0.38719646799116997,NaN,NaN
173,MALÉ,2023,0.39523599470666076,NaN,NaN
174,MALOSCO,2022,0.0,NaN,NaN
175,MALOSCO,2023,0.0,NaN,NaN
176,MASSIMENO,2022,1.7569444444444444,NaN,NaN
177,MASSIMENO,2023,1.891304347826087,NaN,NaN
178,MAZZIN-MAZIN,2022,0.0,NaN,NaN
179,MAZZIN-MAZIN,2023,0.0,NaN,NaN
180,MEZZANA,2022,2.479591836734694,NaN,NaN
181,MEZZANA,2023,7.0136674259681095,NaN,NaN
182,MEZZANO,2022,0.4423558897243108,NaN,NaN
183,MEZZANO,2023,0.45707070707070707,NaN,NaN
184,MEZZOCORONA,2022,0.05646332607116921,NaN,NaN
185,MEZZOCORONA,2023,0.05679327976625274,NaN,NaN
186,MEZZOLOMBARDO,2022,0.01544660846205507,NaN,NaN
187,MEZZOLOMBARDO,2023,0.01804431471407722,NaN,NaN
188,MOENA-MOENA,2022,0.0,NaN,NaN
189,MOENA-MOENA,2023,0.0,NaN,NaN
190,MOLVENO,2022,4.223336371923428,46.1421057,10.9637773
191,MOLVENO,2023,4.284552845528455,46.1421057,10.9637773
192,MORI,2022,0.03274283439490446,NaN,NaN
193,MORI,2023,0.03719415943172849,NaN,NaN
194,NAGO-TORBOLE,2022,2.0350815024805105,NaN,NaN
195,NAGO-TORBOLE,2023,2.1167023554603857,NaN,NaN
196,NOGAREDO,2022,0.02335766423357664,NaN,NaN
197,NOGAREDO,2023,0.02451923076923077,NaN,NaN
198,NOMI,2022,0.0,NaN,NaN
