anno,comune,alberghieri strutture,alberghieri posti_letto,extra alb. Strutture,extra alb. Posti_letto,tot convenzionali strutture,tot convenzionali posti_letto,all. privati numero,all. privati posti_letto,all.disposizione numero,all. disposizione posti_letto,COMPLESSIVO numero,COMPLESSIVO posti_letto
2019,Malosco,5,292,3,177,8,469,47,194,137,683,192,1346
2019,Massimeno,0,0,0,0,0,0,45,180,57,230,102,410
2019,Mazzin0Mazin,11,729,13,294,24,1023,42,136,1068,4442,1134,5601
2019,Mezzana,15,2048,18,2778,33,4826,357,983,1107,4313,1497,10122
2019,Mezzano,4,161,7,161,11,322,201,855,106,486,318,1663
2019,Mezzocorona,4,173,10,129,14,302,7,36,15,86,36,424
2019,Mezzolombardo,1,25,7,65,8,90,0,0,0,0,8,90
2019,Moena0Moena,56,339,10,248,66,3638,778,3493,939,3756,1783,10887
2019,Molveno,39,2426,15,1015,54,3441,467,2049,58,188,579,5678
2019,Mori,1,19,10,127,11,146,18,98,74,353,103,597
2019,Nago0Torbole,52,3179,39,1968,91,5147,187,752,164,666,442,6565
2019,Nogaredo,0,0,3,46,3,46,0,0,3,16,6,62
2019,Nomi,0,0,0,0,0,0,1,2,0,0,1,2
2019,Novaledo,0,0,1,8,1,8,0,0,16,65,17,73
2019,Ospedaletto,0,0,1,4,1,4,6,15,19,58,26,77
2019,Ossana,5,251,9,1066,14,1317,65,260,349,1396,428,2973
2019,Palù del Fersina0Palai en Bersntol,1,24,5,188,6,212,15,53,8,32,29,297
2019,Panchià,6,327,2,14,8,341,69,286,138,609,215,1236
2019,Peio,26,1575,15,956,41,2531,491,2329,582,2827,1114,7687
2019,Pellizzano,3,155,7,185,10,340,74,308,268,1092,352,174
2019,Pelugo,0,0,2,138,2,138,44,142,52,156,98,436
2019,Pergine Valsugana,18,682,23,1397,41,2079,97,479,182,475,320,3033
2019,Pieve di Bono0Prezzo,3,59,6,261,9,320,81,354,86,374,176,1048
2019,Pieve Tesino,1,16,21,1573,22,1589,134,772,320,1627,476,3988
2019,Pinzolo,96,6447,35,1799,131,8246,2765,1205,201,8874,4906,2917
2019,Pomarolo,0,0,1,54,1,54,0,0,22,92,23,146
2019,Porte di Rendena,3,100,3,439,6,539,201,848,319,1336,526,2723
2019,Predaia,7,419,30,679,37,1098,570,2515,700,3102,1307,6715
2019,Predazzo,23,1689,19,1447,42,3136,496,2411,790,3955,1328,9502
2019,Primiero San Martino di Castrozza,74,4915,40,216,114,7075,967,4559,2039,8707,312,20341
2019,Rabbi,4,204,23,578,27,782,138,538,334,1437,499,2757
2019,Revò,1,46,4,34,5,80,4,18,12,46,21,144
2019,Riva del Garda,75,6232,102,3843,177,10075,368,1419,501,2021,1046,13515
2019,Romallo,1,24,3,37,4,61,11,25,29,73,44,159
2019,Romeno,4,152,5,130,9,282,55,220,212,1018,276,152
2019,Roncegno Terme,7,399,8,140,15,539,93,410,196,686,304,1635
2019,Ronchi Valsugana,1,20,2,17,3,37,0,0,76,304,79,341
2019,Ronzo0Chienis,2,60,4,35,6,95,30,160,190,890,226,1145
2019,Ronzone,3,168,3,45,6,213,96,384,480,191,582,2507
2019,Roverè della Luna,1,24,3,26,4,50,0,0,6,24,10,74
2019,Rovereto,7,517,45,845,52,1362,29,102,306,920,387,2384
2019,Ruffrè0Mendola,3,93,3,166,6,259,31,148,291,128,328,1687
2019,Rumo,2,107,7,276,9,383,69,262,192,730,270,1375
2019,Sagron Mis,1,43,3,9,4,52,32,134,59,266,95,452
2019,Samone,1,25,0,0,1,25,17,86,39,192,57,303
2019,San Giovanni di Fassa0Sen Jan,78,459,72,3569,150,8159,816,3568,1244,5599,221,17326
2019,San Lorenzo Dorsino,8,457,10,385,18,842,192,792,204,870,414,2504
2019,San Michele all'Adige,2,71,1,6,3,77,0,0,0,0,3,77
2019,Sant'Orsola Terme,1,68,8,103,9,171,89,320,50,188,148,679
