,comune,anno,valore,valore_letti,lat,lon
74,BOCENAGO,2023,0.9428571428571428,0.793939393939394,NaN,NaN
75,BONDONE,2019,0.7272727272727273,0.10101010101010101,NaN,NaN
76,BONDONE,2020,0.7272727272727273,0.10101010101010101,NaN,NaN
77,BONDONE,2021,0.6666666666666666,0.0967741935483871,NaN,NaN
78,BONDONE,2022,0.6666666666666666,0.09310344827586207,NaN,NaN
79,BONDONE,2023,0.5714285714285714,0.07394366197183098,NaN,NaN
80,BORGO CHIESE,2019,0.8363636363636363,0.5589519650655022,NaN,NaN
81,BORGO CHIESE,2020,0.8363636363636363,0.5589519650655022,NaN,NaN
82,BORGO CHIESE,2021,0.8363636363636363,0.5638766519823789,NaN,NaN
83,BORGO CHIESE,2022,0.46153846153846156,0.11764705882352941,NaN,NaN
84,BORGO CHIESE,2023,0.46153846153846156,0.11764705882352941,NaN,NaN
85,BORGO LARES,2019,0.9565217391304348,0.6123188405797102,NaN,NaN
86,BORGO LARES,2020,0.9565217391304348,0.6123188405797102,NaN,NaN
87,BORGO LARES,2021,0.9565217391304348,0.6123188405797102,NaN,NaN
88,BORGO LARES,2022,0.8333333333333334,0.28187919463087246,NaN,NaN
89,BORGO LARES,2023,0.8333333333333334,0.28187919463087246,NaN,NaN
90,BORGO VALSUGANA,2019,0.22727272727272727,0.06108202443280977,NaN,NaN
91,BORGO VALSUGANA,2020,0.23809523809523808,0.0684931506849315,NaN,NaN
92,BORGO VALSUGANA,2021,0.25,0.09433962264150944,NaN,NaN
93,BORGO VALSUGANA,2022,0.6382978723404256,0.2552083333333333,NaN,NaN
94,BORGO VALSUGANA,2023,0.6153846153846154,0.24780058651026393,NaN,NaN
95,BRENTONICO,2019,0.9482071713147411,0.4589592858698019,NaN,NaN
96,BRENTONICO,2020,0.9463220675944334,0.8970212765957447,NaN,NaN
97,BRENTONICO,2021,0.9388560157790927,0.4437894736842105,NaN,NaN
98,BRENTONICO,2022,0.5303030303030303,0.04432432432432432,NaN,NaN
99,BRENTONICO,2023,0.5657894736842105,0.35634743875278396,NaN,NaN
100,BRESIMO,2019,0.8181818181818182,0.543859649122807,NaN,NaN
101,BRESIMO,2020,0.8181818181818182,0.543859649122807,NaN,NaN
102,BRESIMO,2021,0.8181818181818182,0.543859649122807,NaN,NaN
103,BRESIMO,2022,0.625,0.3888888888888889,NaN,NaN
104,BRESIMO,2023,0.6,0.3023255813953488,NaN,NaN
105,BREZ,2019,0.5652173913043478,0.287292817679558,NaN,NaN
106,BREZ,2020,0.0,0.0,NaN,NaN
107,BREZ,2021,0.0,0.0,NaN,NaN
108,BREZ,2022,0.0,0.0,NaN,NaN
109,BREZ,2023,0.0,0.0,NaN,NaN
110,CADERZONE TERME,2019,0.9281045751633987,0.681592039800995,NaN,NaN
111,CADERZONE TERME,2020,0.9281045751633987,0.681592039800995,NaN,NaN
112,CADERZONE TERME,2021,0.9281045751633987,0.681592039800995,NaN,NaN
113,CADERZONE TERME,2022,0.7543859649122807,0.3065068493150685,NaN,NaN
114,CADERZONE TERME,2023,0.803030303030303,0.3646496815286624,NaN,NaN
115,CAGNÒ,2019,0.3333333333333333,0.1095890410958904,NaN,NaN
116,CAGNÒ,2020,0.0,0.0,NaN,NaN
117,CAGNÒ,2021,0.0,0.0,NaN,NaN
118,CAGNÒ,2022,0.0,0.0,NaN,NaN
119,CAGNÒ,2023,0.0,0.0,NaN,NaN
120,CALCERANICA AL LAGO,2019,0.8896103896103896,0.9366666666666666,NaN,NaN
121,CALCERANICA AL LAGO,2020,0.8954248366013072,0.12878093492208983,NaN,NaN
122,CALCERANICA AL LAGO,2021,0.9013157894736842,0.12898783566674318,NaN,NaN
123,CALCERANICA AL LAGO,2022,0.7831325301204819,0.06506849315068493,NaN,NaN
124,CALCERANICA AL LAGO,2023,0.7954545454545454,0.06867671691792294,NaN,NaN
125,CALDES,2019,0.7631578947368421,0.3784722222222222,NaN,NaN
